                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1755,                 1.1117,                 1.5183,                0.64624,                0.55585,                 0.6372,                0.46004,                 1.0642,                0.87754,                 1.4028,               0.048739,              0.0055253,              0.0055253
                      2,                 1.1583,                 1.1083,                 1.5004,                0.58709,                0.67233,                0.64695,                0.46331,                 1.0761,                0.89021,                  1.422,               0.009409,               0.009409,               0.009409
                      3,                 1.1449,                 1.0954,                 1.4919,                0.66787,                 0.5775,                 0.6971,                0.51261,                 1.0693,                0.97658,                 1.4302,               0.009409,               0.009409,               0.009409
                      4,                  1.142,                 1.0852,                 1.4795,                0.53629,                0.68437,                0.61074,                 0.4313,                 1.0522,                0.85284,                 1.4089,              0.0090879,              0.0090879,              0.0090879
                      5,                 1.1186,                 1.0455,                 1.4691,                0.53478,                0.72244,                0.66255,                0.48297,                 1.0429,                0.84368,                 1.3916,              0.0087669,              0.0087669,              0.0087669
                      6,                 1.1068,                 1.0268,                 1.4603,                0.75352,                0.56123,                0.73207,                0.53953,                 1.0253,                0.84688,                 1.3796,              0.0084458,              0.0084458,              0.0084458
                      7,                 1.0932,                 1.0046,                 1.4511,                0.45625,                0.82615,                0.59204,                0.43034,                 1.0566,                0.85867,                 1.4048,              0.0081248,              0.0081248,              0.0081248
                      8,                 1.0823,                0.98952,                 1.4446,                0.67983,                0.66316,                  0.664,                0.46066,                 1.0488,                0.91322,                  1.399,              0.0078038,              0.0078038,              0.0078038
                      9,                 1.0659,                0.95489,                  1.427,                0.68553,                0.64825,                0.73313,                0.54907,                  1.016,                0.86897,                 1.3852,              0.0074827,              0.0074827,              0.0074827
                     10,                  1.059,                0.95161,                 1.4227,                0.70598,                0.66024,                0.71885,                0.51888,                 1.0781,                0.82016,                 1.4021,              0.0071617,              0.0071617,              0.0071617
                     11,                  1.046,                0.92375,                 1.4165,                0.72247,                0.59966,                  0.726,                0.56164,                0.95511,                0.82337,                 1.3439,              0.0068407,              0.0068407,              0.0068407
                     12,                 1.0327,                0.92065,                 1.4054,                0.67085,                0.59775,                0.70619,                 0.5288,                0.99464,                0.75685,                 1.3755,              0.0065196,              0.0065196,              0.0065196
                     13,                 1.0133,                 0.8885,                 1.3909,                0.65841,                0.66672,                 0.7231,                0.54865,                0.97175,                0.80257,                 1.3564,              0.0061986,              0.0061986,              0.0061986
                     14,                 1.0035,                0.87138,                 1.3815,                0.57799,                0.64372,                0.60657,                0.44405,                0.97703,                 0.8929,                 1.3454,              0.0058775,              0.0058775,              0.0058775
                     15,                0.99488,                0.86065,                 1.3835,                0.72222,                 0.6447,                0.75139,                0.57923,                0.96968,                0.81918,                 1.3691,              0.0055565,              0.0055565,              0.0055565
                     16,                0.98196,                0.85079,                 1.3665,                0.54289,                0.62911,                 0.5955,                0.44222,                 0.9639,                0.89852,                 1.3565,              0.0052355,              0.0052355,              0.0052355
                     17,                0.96893,                0.82618,                 1.3565,                0.65365,                0.74907,                0.73538,                0.56651,                0.94689,                0.81183,                 1.3436,              0.0049144,              0.0049144,              0.0049144
                     18,                0.95703,                0.81617,                 1.3494,                0.78274,                0.57262,                0.71007,                0.54648,                0.97438,                0.81149,                  1.363,              0.0045934,              0.0045934,              0.0045934
                     19,                0.95031,                 0.7939,                 1.3522,                0.71919,                0.70331,                0.74609,                0.56576,                0.94277,                0.78319,                 1.3461,              0.0042724,              0.0042724,              0.0042724
                     20,                0.94181,                0.79201,                 1.3422,                0.73608,                0.61215,                0.66635,                0.51504,                0.97011,                0.82912,                 1.3716,              0.0039513,              0.0039513,              0.0039513
                     21,                 0.7927,                0.40071,                 1.2761,                0.68829,                0.57102,                 0.6539,                0.49468,                0.96998,                0.83408,                 1.3725,              0.0036303,              0.0036303,              0.0036303
                     22,                0.76301,                0.37842,                 1.2518,                0.65005,                0.61857,                 0.6286,                0.47407,                0.97062,                0.80661,                 1.3735,              0.0033092,              0.0033092,              0.0033092
                     23,                0.74555,                0.36567,                 1.2394,                0.57205,                0.77609,                0.69302,                0.53572,                0.91371,                0.78565,                 1.3243,              0.0029882,              0.0029882,              0.0029882
                     24,                0.72477,                0.35146,                 1.2209,                0.72591,                0.58824,                0.64709,                0.48961,                0.93614,                0.82874,                  1.345,              0.0026672,              0.0026672,              0.0026672
                     25,                0.71426,                0.34247,                 1.2198,                0.72298,                0.56399,                0.68538,                0.53085,                0.94179,                0.82884,                 1.3768,              0.0023461,              0.0023461,              0.0023461
                     26,                0.69378,                0.32641,                 1.1943,                0.66038,                0.60384,                 0.6805,                0.54066,                0.94385,                0.83377,                 1.3917,              0.0020251,              0.0020251,              0.0020251
                     27,                0.67773,                0.31867,                 1.1855,                0.66149,                0.64759,                 0.6886,                0.53438,                0.93172,                0.79062,                 1.3859,               0.001704,               0.001704,               0.001704
                     28,                0.66424,                0.30735,                 1.1761,                0.59738,                0.75245,                0.70903,                0.55909,                0.92423,                0.81417,                 1.3841,               0.001383,               0.001383,               0.001383
                     29,                0.66029,                0.30788,                  1.176,                 0.7248,                0.59204,                0.68034,                0.53219,                0.90756,                0.81508,                 1.3653,               0.001062,               0.001062,               0.001062
                     30,                0.64262,                0.29625,                 1.1575,                 0.7307,                0.60294,                0.70163,                 0.5479,                0.90272,                0.80354,                 1.3847,             0.00074093,             0.00074093,             0.00074093
