                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.85345,                0.96959,                 1.8455,                0.60849,                0.64653,                0.68173,                0.51704,                0.78038,                 0.7188,                 1.7252,               0.037687,              0.0071785,              0.0071785
                      2,                0.85071,                0.96726,                 1.8362,                0.48544,                0.67614,                0.65561,                0.48446,                0.78288,                0.78334,                  1.755,              0.0099906,              0.0099906,              0.0099906
                      3,                 0.8327,                0.95207,                 1.8102,                0.66868,                0.57785,                0.64149,                0.44357,                0.78293,                 0.7253,                 1.7595,              0.0099906,              0.0099906,              0.0099906
                      4,                 0.8167,                0.93551,                 1.7931,                0.75121,                0.65637,                0.73352,                 0.5474,                0.77313,                0.74153,                 1.7394,              0.0096512,              0.0096512,              0.0096512
                      5,                 0.7991,                0.90255,                  1.768,                0.54496,                 0.6846,                0.62035,                0.43719,                0.78434,                0.87413,                 1.7195,              0.0093118,              0.0093118,              0.0093118
                      6,                 0.7904,                0.88755,                 1.7542,                0.52492,                0.61861,                0.60956,                0.44839,                0.73408,                0.75932,                 1.6843,              0.0089723,              0.0089723,              0.0089723
                      7,                0.78318,                0.86301,                 1.7475,                0.58891,                0.72927,                0.70037,                0.51753,                 0.7113,                0.70144,                 1.6417,              0.0086329,              0.0086329,              0.0086329
                      8,                0.77868,                0.85949,                 1.7411,                0.66357,                0.63638,                0.71465,                0.53889,                0.72936,                0.75952,                 1.6738,              0.0082935,              0.0082935,              0.0082935
                      9,                0.76513,                0.83453,                  1.723,                0.55532,                0.63415,                 0.5882,                0.43512,                0.71021,                0.75781,                 1.6451,              0.0079541,              0.0079541,              0.0079541
                     10,                0.75107,                0.80727,                 1.7046,                0.71862,                0.53762,                0.63098,                0.47305,                0.72028,                0.73694,                  1.673,              0.0076147,              0.0076147,              0.0076147
                     11,                0.74806,                0.78739,                 1.6981,                0.57106,                0.73269,                0.67099,                0.49832,                 0.7225,                 0.6914,                 1.6738,              0.0072753,              0.0072753,              0.0072753
                     12,                0.73881,                0.77831,                  1.691,                0.62385,                 0.5793,                0.63868,                0.48778,                0.68933,                0.69811,                 1.6591,              0.0069358,              0.0069358,              0.0069358
                     13,                0.72613,                 0.7604,                 1.6701,                0.69574,                0.59969,                0.70501,                0.52677,                0.69301,                0.73473,                 1.6345,              0.0065964,              0.0065964,              0.0065964
                     14,                0.72018,                0.75164,                 1.6654,                0.71059,                 0.6208,                 0.6805,                0.48713,                0.70873,                0.72776,                 1.6635,               0.006257,               0.006257,               0.006257
                     15,                0.70964,                0.73487,                 1.6586,                0.62181,                0.69743,                0.65689,                0.49881,                0.69101,                0.69093,                 1.6543,              0.0059176,              0.0059176,              0.0059176
                     16,                0.69268,                 0.7087,                 1.6356,                0.57389,                0.76295,                0.64666,                0.48465,                  0.673,                0.67922,                 1.6038,              0.0055782,              0.0055782,              0.0055782
                     17,                0.68753,                 0.6965,                 1.6306,                0.61538,                0.69188,                 0.6899,                0.52909,                0.68135,                0.67588,                 1.6073,              0.0052388,              0.0052388,              0.0052388
                     18,                0.68702,                0.69435,                 1.6196,                0.70706,                0.66012,                 0.6963,                0.51075,                0.65422,                0.65523,                 1.5956,              0.0048993,              0.0048993,              0.0048993
                     19,                0.67773,                 0.6753,                 1.6165,                0.57334,                0.64918,                0.59651,                 0.4545,                0.66884,                0.70624,                 1.6216,              0.0045599,              0.0045599,              0.0045599
                     20,                0.66351,                0.66251,                 1.6025,                0.57658,                0.76015,                0.62169,                0.46621,                0.67275,                0.69081,                  1.625,              0.0042205,              0.0042205,              0.0042205
                     21,                0.56533,                0.34477,                 1.5399,                0.63185,                0.68093,                0.68543,                0.53094,                0.65772,                0.71425,                 1.6002,              0.0038811,              0.0038811,              0.0038811
                     22,                0.54178,                0.32465,                 1.5102,                0.63649,                0.66906,                0.63339,                0.47984,                 0.6659,                 0.7284,                 1.6257,              0.0035417,              0.0035417,              0.0035417
                     23,                0.52972,                0.31901,                 1.4963,                 0.5711,                0.74754,                0.66775,                0.52195,                0.68719,                0.74605,                 1.6993,              0.0032023,              0.0032023,              0.0032023
                     24,                0.51746,                0.30691,                 1.4769,                0.61446,                0.71755,                0.68689,                0.52881,                0.66391,                0.72402,                 1.6555,              0.0028628,              0.0028628,              0.0028628
                     25,                0.50709,                0.29556,                 1.4675,                0.63637,                0.65704,                0.70291,                0.55364,                0.65298,                0.72917,                 1.6402,              0.0025234,              0.0025234,              0.0025234
                     26,                0.49417,                0.28461,                 1.4413,                0.66167,                0.70938,                0.64934,                0.50916,                0.65332,                0.67611,                 1.6745,               0.002184,               0.002184,               0.002184
                     27,                0.48442,                0.27846,                 1.4319,                0.66027,                0.71602,                0.67934,                0.53713,                0.64946,                0.68022,                 1.6606,              0.0018446,              0.0018446,              0.0018446
                     28,                0.47645,                 0.2674,                 1.4189,                0.65196,                0.62984,                0.71909,                0.57695,                0.64015,                0.73451,                 1.6415,              0.0015052,              0.0015052,              0.0015052
                     29,                 0.4696,                0.26633,                 1.4166,                0.73085,                0.67659,                0.71013,                0.55316,                0.64985,                0.68956,                 1.6506,              0.0011658,              0.0011658,              0.0011658
                     30,                0.45918,                0.25518,                 1.4022,                0.76558,                0.65002,                0.74465,                0.55961,                0.64414,                0.67811,                 1.6587,             0.00082634,             0.00082634,             0.00082634
