                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2031,                0.82973,                 1.1915,                 0.5797,                0.55968,                0.64242,                0.47611,                 1.1591,                0.71631,                 1.1391,               0.016052,              0.0092343,              0.0092343
                      2,                 1.1991,                0.82476,                 1.1789,                0.43685,                0.69074,                0.54073,                0.39349,                 1.0742,                0.71212,                 1.0916,              0.0095824,              0.0095824,              0.0095824
                      3,                  1.181,                0.81234,                 1.1735,                0.58489,                0.52061,                0.62946,                0.44636,                  1.114,                0.72247,                  1.124,              0.0095824,              0.0095824,              0.0095824
                      4,                 1.1726,                0.79739,                 1.1662,                0.51305,                0.63212,                0.62488,                0.46621,                 1.0728,                0.73477,                 1.0878,              0.0092549,              0.0092549,              0.0092549
                      5,                 1.1509,                0.78125,                  1.156,                0.56503,                0.59858,                0.68838,                0.50859,                 1.1434,                0.70347,                 1.1147,              0.0089273,              0.0089273,              0.0089273
                      6,                 1.1348,                0.76063,                 1.1487,                0.60213,                0.69122,                0.63871,                0.47333,                  1.065,                0.64181,                 1.0923,              0.0085998,              0.0085998,              0.0085998
                      7,                 1.1215,                0.74787,                 1.1345,                0.68726,                0.68151,                0.72659,                0.55498,                 1.0243,                0.68622,                 1.0628,              0.0082722,              0.0082722,              0.0082722
                      8,                 1.0915,                0.72834,                 1.1215,                0.51562,                0.65356,                0.63335,                0.45656,                 1.0436,                0.73772,                  1.068,              0.0079447,              0.0079447,              0.0079447
                      9,                  1.086,                0.71584,                 1.1122,                0.67605,                0.61929,                0.68256,                0.50417,                  1.072,                  0.671,                 1.0809,              0.0076171,              0.0076171,              0.0076171
                     10,                 1.0705,                0.70125,                 1.1076,                0.66324,                0.57498,                 0.6691,                0.49317,                 1.0368,                0.64169,                 1.0856,              0.0072896,              0.0072896,              0.0072896
                     11,                 1.0498,                0.67966,                 1.0973,                0.67316,                0.66205,                0.67379,                 0.5313,                0.98017,                0.65726,                 1.0453,               0.006962,               0.006962,               0.006962
                     12,                  1.048,                0.66731,                  1.094,                0.66756,                0.58881,                0.69249,                0.53134,                 1.0187,                0.62318,                 1.0524,              0.0066344,              0.0066344,              0.0066344
                     13,                 1.0226,                0.64019,                 1.0774,                0.58722,                0.64049,                0.62541,                 0.4678,                0.98995,                0.63863,                 1.0437,              0.0063069,              0.0063069,              0.0063069
                     14,                 1.0072,                0.62828,                 1.0723,                0.47767,                0.69222,                0.57166,                0.42218,                 1.0335,                  0.693,                 1.0846,              0.0059793,              0.0059793,              0.0059793
                     15,                0.99774,                0.61874,                 1.0671,                0.56312,                0.68472,                0.64306,                 0.4882,                0.99031,                0.63223,                 1.0514,              0.0056518,              0.0056518,              0.0056518
                     16,                0.99642,                0.61723,                 1.0652,                0.51286,                0.75678,                0.61881,                 0.4726,                0.98358,                0.62372,                 1.0505,              0.0053242,              0.0053242,              0.0053242
                     17,                0.97208,                 0.5945,                  1.054,                0.62349,                0.69946,                 0.7045,                0.54315,                0.97835,                0.64481,                 1.0529,              0.0049967,              0.0049967,              0.0049967
                     18,                 0.9627,                0.57828,                 1.0466,                0.70691,                0.60177,                0.66606,                0.50693,                0.98979,                0.60624,                 1.0458,              0.0046691,              0.0046691,              0.0046691
                     19,                0.95588,                0.57404,                 1.0412,                0.64943,                0.59995,                0.64178,                0.49026,                0.98361,                0.63469,                 1.0505,              0.0043416,              0.0043416,              0.0043416
                     20,                 0.9353,                0.57103,                 1.0374,                0.60877,                0.64649,                0.68412,                0.51322,                0.95222,                0.60742,                 1.0393,               0.004014,               0.004014,               0.004014
                     21,                0.78858,                0.30238,                0.97918,                0.73822,                0.58855,                0.65558,                0.50082,                0.94092,                0.66564,                  1.034,              0.0036865,              0.0036865,              0.0036865
                     22,                 0.7564,                 0.2882,                0.96086,                0.68814,                0.59468,                0.65043,                 0.4909,                0.97357,                0.63266,                 1.0557,              0.0033589,              0.0033589,              0.0033589
                     23,                0.74335,                 0.2793,                0.95355,                0.53946,                0.66392,                0.65219,                 0.5072,                0.94844,                0.67126,                 1.0406,              0.0030313,              0.0030313,              0.0030313
                     24,                0.72433,                0.26577,                0.94052,                0.53869,                0.53548,                0.55963,                0.43541,                0.93165,                0.64823,                 1.0339,              0.0027038,              0.0027038,              0.0027038
                     25,                0.71229,                 0.2573,                 0.9387,                0.65891,                 0.6404,                0.70024,                0.54267,                0.93277,                0.63657,                 1.0536,              0.0023762,              0.0023762,              0.0023762
                     26,                0.69336,                0.24648,                0.92151,                0.76837,                0.58773,                0.67017,                0.52646,                0.94532,                0.64819,                  1.057,              0.0020487,              0.0020487,              0.0020487
                     27,                0.67553,                0.24396,                0.91321,                0.64551,                0.64089,                 0.6534,                0.49585,                0.93698,                0.62845,                 1.0616,              0.0017211,              0.0017211,              0.0017211
                     28,                0.66432,                0.23471,                0.90653,                0.69829,                0.61429,                0.66232,                0.52241,                0.93099,                0.62923,                 1.0519,              0.0013936,              0.0013936,              0.0013936
                     29,                0.65136,                0.23371,                0.90136,                0.58514,                0.65745,                0.60564,                0.46807,                0.93185,                0.63836,                   1.06,               0.001066,               0.001066,               0.001066
                     30,                 0.6435,                0.22701,                0.89591,                0.63981,                0.66079,                0.64791,                0.50464,                0.91975,                  0.642,                 1.0557,             0.00073845,             0.00073845,             0.00073845
