                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0132,                0.96815,                  1.525,                0.53308,                0.66318,                0.61498,                0.45265,                0.94682,                0.81894,                 1.4341,               0.047337,              0.0056312,              0.0056312
                      2,                0.99907,                  0.952,                 1.5084,                0.61756,                0.53292,                0.60687,                0.43578,                 1.0033,                0.88083,                 1.4727,              0.0093408,              0.0093408,              0.0093408
                      3,                0.99991,                0.94705,                 1.5057,                0.60731,                0.59536,                0.69425,                0.51975,                 0.9523,                 0.8267,                  1.414,              0.0093408,              0.0093408,              0.0093408
                      4,                0.98352,                0.93328,                 1.4932,                0.56376,                0.61253,                0.64847,                0.46956,                0.94442,                0.80587,                 1.4284,              0.0090216,              0.0090216,              0.0090216
                      5,                0.97309,                0.90834,                 1.4813,                0.44986,                0.69598,                0.58912,                0.42223,                0.96324,                0.81922,                 1.4304,              0.0087024,              0.0087024,              0.0087024
                      6,                0.95878,                0.88758,                 1.4664,                0.55997,                0.72519,                0.64339,                0.46699,                0.92061,                0.84934,                 1.3959,              0.0083832,              0.0083832,              0.0083832
                      7,                0.93545,                0.85597,                 1.4464,                0.50587,                0.64888,                0.57634,                0.42807,                0.93621,                0.86028,                 1.4193,               0.008064,               0.008064,               0.008064
                      8,                0.92577,                0.84105,                 1.4389,                0.68177,                0.56304,                0.61517,                0.45201,                0.90238,                0.83913,                 1.4133,              0.0077448,              0.0077448,              0.0077448
                      9,                0.92275,                0.82165,                 1.4342,                0.61624,                0.68926,                0.63616,                0.46248,                0.87989,                0.75931,                 1.3863,              0.0074257,              0.0074257,              0.0074257
                     10,                0.91257,                0.81826,                 1.4275,                0.60076,                0.73824,                0.75716,                0.57257,                0.88869,                0.74233,                 1.3748,              0.0071065,              0.0071065,              0.0071065
                     11,                0.89825,                0.80638,                 1.4216,                0.64769,                0.60439,                0.72218,                0.54723,                0.87428,                0.77502,                 1.3717,              0.0067873,              0.0067873,              0.0067873
                     12,                0.88245,                0.77596,                  1.401,                0.69002,                0.68962,                0.69909,                 0.5285,                 0.8498,                0.74048,                 1.3355,              0.0064681,              0.0064681,              0.0064681
                     13,                0.86986,                0.75392,                 1.3921,                0.53719,                0.76843,                 0.6516,                0.49898,                 0.8643,                0.74354,                 1.3608,              0.0061489,              0.0061489,              0.0061489
                     14,                0.85931,                0.74595,                 1.3827,                0.66585,                0.65122,                0.63815,                0.48881,                0.86596,                0.75068,                 1.3691,              0.0058297,              0.0058297,              0.0058297
                     15,                0.84885,                0.73165,                 1.3711,                0.58936,                0.65396,                0.60033,                 0.4512,                0.85281,                0.80821,                 1.3615,              0.0055105,              0.0055105,              0.0055105
                     16,                0.84429,                0.72155,                 1.3724,                0.71913,                 0.7098,                0.75136,                0.59061,                0.83628,                0.74136,                 1.3559,              0.0051913,              0.0051913,              0.0051913
                     17,                 0.8336,                0.71201,                 1.3592,                0.65216,                 0.6969,                0.66746,                0.50157,                0.84779,                0.81162,                 1.3936,              0.0048721,              0.0048721,              0.0048721
                     18,                0.81876,                0.69556,                 1.3515,                 0.4853,                0.67191,                0.56528,                0.43763,                0.82936,                0.77743,                 1.3477,              0.0045529,              0.0045529,              0.0045529
                     19,                0.80317,                0.66655,                 1.3376,                0.66448,                0.70704,                0.70998,                0.54313,                0.84125,                 0.7532,                 1.3665,              0.0042337,              0.0042337,              0.0042337
                     20,                0.80577,                0.67414,                 1.3376,                0.62858,                  0.599,                0.60897,                0.44604,                0.83995,                0.77212,                 1.3736,              0.0039145,              0.0039145,              0.0039145
                     21,                0.66672,                0.33494,                  1.251,                0.61804,                0.71147,                0.63477,                0.48564,                0.84194,                0.76018,                 1.3676,              0.0035953,              0.0035953,              0.0035953
                     22,                0.64037,                 0.3192,                 1.2262,                0.58674,                0.74555,                0.63622,                0.48146,                0.84965,                0.78764,                 1.3986,              0.0032762,              0.0032762,              0.0032762
                     23,                0.62727,                0.30755,                 1.2131,                 0.7042,                0.64992,                0.71212,                0.55973,                0.81855,                0.74251,                 1.3615,               0.002957,               0.002957,               0.002957
                     24,                0.61094,                0.29705,                 1.1974,                0.61845,                0.68805,                0.65965,                0.51781,                0.80983,                0.75364,                 1.3585,              0.0026378,              0.0026378,              0.0026378
                     25,                0.59754,                0.29251,                 1.1957,                 0.6451,                0.64347,                0.64219,                0.49971,                0.80122,                0.72865,                 1.3666,              0.0023186,              0.0023186,              0.0023186
                     26,                0.58035,                0.27969,                 1.1699,                0.64611,                0.73798,                0.70782,                 0.5599,                0.81497,                0.71163,                 1.3695,              0.0019994,              0.0019994,              0.0019994
                     27,                0.56871,                0.27388,                 1.1619,                0.64372,                0.72663,                0.66546,                0.51772,                0.81191,                 0.7324,                 1.3954,              0.0016802,              0.0016802,              0.0016802
                     28,                0.55767,                0.26164,                 1.1528,                0.58476,                0.72816,                0.68464,                0.53191,                0.79646,                0.75425,                 1.3714,               0.001361,               0.001361,               0.001361
                     29,                0.55013,                0.26406,                 1.1565,                0.63187,                 0.7231,                0.65934,                0.51121,                0.79853,                0.76257,                 1.3795,              0.0010418,              0.0010418,              0.0010418
                     30,                0.54047,                 0.2549,                 1.1383,                0.60133,                0.74776,                0.65542,                 0.5103,                0.79699,                0.74168,                 1.3869,             0.00072262,             0.00072262,             0.00072262
