                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3047,                 1.3215,                 1.5743,                 0.4185,                0.58648,                 0.5348,                0.37062,                 1.1955,                 1.0291,                 1.5276,               0.052103,              0.0070623,              0.0070623
                      2,                 1.3032,                 1.3308,                 1.5663,                0.66347,                0.61607,                0.61728,                0.42533,                  1.352,                 1.0893,                 1.6142,               0.012425,               0.012425,               0.012425
                      3,                 1.2969,                 1.3145,                 1.5673,                0.51837,                0.49475,                0.53313,                0.37665,                 1.1853,                  1.027,                 1.5146,               0.012425,               0.012425,               0.012425
                      4,                 1.2933,                 1.3057,                 1.5648,                0.54649,                0.53988,                0.63455,                0.46675,                 1.1217,                0.99065,                 1.4653,                  0.012,                  0.012,                  0.012
                      5,                 1.2685,                 1.2679,                 1.5446,                0.53655,                0.69494,                0.64825,                0.46016,                 1.1472,                0.98729,                 1.4696,               0.011576,               0.011576,               0.011576
                      6,                 1.2457,                 1.2598,                  1.529,                0.55294,                0.71327,                0.73123,                0.54015,                 1.1131,                 0.9935,                 1.4589,               0.011151,               0.011151,               0.011151
                      7,                 1.2339,                 1.1968,                  1.517,                0.45441,                  0.582,                0.53592,                0.37825,                 1.1791,                 1.0111,                 1.5138,               0.010726,               0.010726,               0.010726
                      8,                 1.2183,                 1.2042,                 1.5101,                0.65963,                0.68945,                0.64386,                 0.4643,                 1.1166,                0.97817,                 1.4723,               0.010301,               0.010301,               0.010301
                      9,                 1.1961,                 1.1579,                  1.491,                0.47123,                   0.67,                0.54708,                0.39453,                  1.068,                 1.0277,                 1.4358,              0.0098763,              0.0098763,              0.0098763
                     10,                 1.1699,                 1.1304,                 1.4807,                0.69023,                0.62633,                 0.7223,                 0.5319,                 1.1489,                0.95117,                 1.4787,              0.0094515,              0.0094515,              0.0094515
                     11,                 1.1725,                 1.1032,                 1.4756,                0.56331,                0.65799,                0.61155,                 0.4407,                 1.0779,                0.89813,                 1.4388,              0.0090267,              0.0090267,              0.0090267
                     12,                 1.1588,                 1.0788,                 1.4681,                0.57847,                 0.6494,                0.61608,                0.45861,                 1.0792,                0.89676,                 1.4308,              0.0086019,              0.0086019,              0.0086019
                     13,                 1.1445,                 1.0565,                  1.456,                0.71705,                0.61165,                0.66549,                0.44989,                 1.0727,                0.89656,                 1.4343,              0.0081771,              0.0081771,              0.0081771
                     14,                  1.124,                 1.0464,                 1.4512,                0.62287,                0.67429,                0.63255,                0.46618,                 1.0684,                 0.8914,                  1.437,              0.0077523,              0.0077523,              0.0077523
                     15,                 1.1123,                 1.0214,                 1.4321,                0.67937,                0.58123,                0.67838,                0.49788,                 1.0601,                0.89375,                 1.4255,              0.0073275,              0.0073275,              0.0073275
                     16,                 1.0949,                0.99303,                 1.4261,                 0.5704,                0.65881,                0.63842,                0.47533,                 1.0514,                0.85684,                 1.4304,              0.0069027,              0.0069027,              0.0069027
                     17,                 1.0801,                0.98438,                 1.4143,                0.61579,                0.70071,                  0.647,                0.47776,                 1.0454,                0.91153,                 1.4262,              0.0064779,              0.0064779,              0.0064779
                     18,                 1.0756,                 0.9528,                 1.4111,                 0.7381,                0.64865,                0.69319,                0.52554,                 1.0327,                0.80779,                 1.3862,              0.0060531,              0.0060531,              0.0060531
                     19,                 1.0629,                0.94434,                  1.403,                0.64704,                0.62584,                0.62069,                0.47029,                 1.0546,                0.96939,                 1.4359,              0.0056283,              0.0056283,              0.0056283
                     20,                 1.0386,                0.92506,                 1.3835,                0.68867,                0.60531,                0.74382,                0.56747,                 1.0067,                0.88225,                 1.3945,              0.0052035,              0.0052035,              0.0052035
                     21,                 0.9301,                0.51142,                 1.3918,                0.61202,                0.63114,                0.63847,                0.47259,                 1.0257,                0.88131,                 1.3924,              0.0047786,              0.0047786,              0.0047786
                     22,                0.87269,                0.47122,                 1.3474,                0.69193,                0.58887,                0.66273,                0.49112,                 1.0632,                0.87025,                 1.4465,              0.0043538,              0.0043538,              0.0043538
                     23,                0.84617,                0.44639,                 1.3273,                0.62104,                0.61053,                0.67937,                 0.5147,                 1.0406,                0.93825,                 1.4262,               0.003929,               0.003929,               0.003929
                     24,                0.83041,                0.43243,                 1.3144,                0.54167,                0.54467,                0.58537,                0.45315,                  1.005,                0.94036,                 1.4196,              0.0035042,              0.0035042,              0.0035042
                     25,                0.81525,                0.41227,                 1.3092,                0.62868,                0.72809,                0.66939,                0.51426,                 1.0093,                0.89131,                 1.4199,              0.0030794,              0.0030794,              0.0030794
                     26,                0.78827,                0.38786,                 1.2845,                0.69511,                0.71004,                0.70001,                0.54387,                0.97552,                0.88117,                 1.3891,              0.0026546,              0.0026546,              0.0026546
                     27,                0.77382,                0.37638,                 1.2703,                0.59261,                0.74735,                0.64422,                0.49416,                0.99917,                0.87808,                 1.4172,              0.0022298,              0.0022298,              0.0022298
                     28,                0.75534,                0.36461,                 1.2553,                0.58939,                0.64652,                0.60534,                0.46948,                0.96869,                0.87799,                 1.4203,               0.001805,               0.001805,               0.001805
                     29,                0.74303,                0.36131,                 1.2506,                0.64826,                0.61925,                0.61651,                0.46604,                0.96299,                0.89322,                  1.405,              0.0013802,              0.0013802,              0.0013802
                     30,                 0.7287,                0.34606,                 1.2407,                0.60252,                0.73682,                0.62407,                0.47956,                0.96267,                0.86445,                 1.4044,             0.00095537,             0.00095537,             0.00095537
