                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1869,                 1.1992,                 1.5066,                0.57507,                0.53829,                0.61155,                0.44231,                 1.0812,                0.94728,                 1.4276,               0.048028,              0.0057746,              0.0057746
                      2,                 1.1744,                 1.1918,                 1.4944,                0.46878,                0.73558,                0.58229,                  0.418,                 1.0815,                0.92528,                 1.4139,              0.0096699,              0.0096699,              0.0096699
                      3,                 1.1555,                 1.1631,                 1.4847,                0.58736,                0.66289,                 0.6424,                 0.4557,                 1.1371,                0.95287,                  1.459,              0.0096699,              0.0096699,              0.0096699
                      4,                 1.1426,                 1.1406,                 1.4741,                0.62691,                0.53236,                0.62756,                0.47625,                 1.0367,                0.88383,                 1.3837,              0.0093399,              0.0093399,              0.0093399
                      5,                 1.1384,                 1.1272,                 1.4688,                0.66768,                0.62624,                0.68461,                0.50312,                 1.0134,                0.87085,                 1.3801,              0.0090098,              0.0090098,              0.0090098
                      6,                 1.1205,                 1.1019,                 1.4547,                0.57973,                0.67063,                0.60893,                0.44468,                 1.0334,                  1.004,                 1.4127,              0.0086798,              0.0086798,              0.0086798
                      7,                 1.1101,                 1.0656,                 1.4469,                0.60456,                0.62147,                0.67888,                0.49725,                 1.0506,                0.91515,                 1.3904,              0.0083497,              0.0083497,              0.0083497
                      8,                  1.097,                 1.0652,                 1.4417,                0.66012,                0.51776,                0.58458,                0.42955,                 1.0232,                0.95382,                 1.3905,              0.0080196,              0.0080196,              0.0080196
                      9,                 1.0701,                 1.0147,                 1.4202,                0.69688,                0.59856,                0.71294,                0.52229,                 1.0416,                0.90386,                  1.397,              0.0076896,              0.0076896,              0.0076896
                     10,                 1.0585,                 1.0062,                 1.4125,                0.65543,                0.65307,                 0.6747,                0.50307,                 1.0336,                0.88388,                 1.3923,              0.0073595,              0.0073595,              0.0073595
                     11,                 1.0571,                0.98369,                 1.4108,                 0.7404,                 0.5924,                0.68812,                0.52955,                0.98204,                0.80591,                 1.3444,              0.0070295,              0.0070295,              0.0070295
                     12,                 1.0454,                0.96661,                 1.4021,                0.70662,                 0.6548,                0.69267,                0.52387,                 1.0088,                0.91568,                 1.3734,              0.0066994,              0.0066994,              0.0066994
                     13,                 1.0265,                0.95275,                 1.3861,                0.64712,                0.67503,                0.73821,                0.57575,                0.98429,                0.84843,                 1.3628,              0.0063693,              0.0063693,              0.0063693
                     14,                 1.0211,                0.94038,                 1.3919,                0.71402,                0.58715,                0.67352,                0.50052,                0.98417,                0.85472,                 1.3604,              0.0060393,              0.0060393,              0.0060393
                     15,                 1.0199,                0.92371,                 1.3797,                0.63504,                0.60585,                0.63625,                0.47205,                 0.9682,                 0.8593,                 1.3402,              0.0057092,              0.0057092,              0.0057092
                     16,                0.99567,                0.90485,                 1.3701,                0.60081,                0.76766,                0.71831,                0.56537,                0.93529,                0.86773,                 1.3322,              0.0053792,              0.0053792,              0.0053792
                     17,                0.97706,                0.88021,                 1.3536,                0.72541,                0.68561,                 0.7284,                0.56344,                0.96064,                0.86128,                 1.3451,              0.0050491,              0.0050491,              0.0050491
                     18,                0.97126,                 0.8608,                 1.3518,                0.66587,                0.64919,                0.66506,                0.50575,                0.97191,                0.82237,                 1.3601,               0.004719,               0.004719,               0.004719
                     19,                0.96227,                0.85412,                 1.3439,                0.70495,                0.62509,                0.65872,                0.49392,                0.94881,                0.88313,                 1.3379,               0.004389,               0.004389,               0.004389
                     20,                0.94467,                0.84371,                 1.3292,                0.68196,                0.56869,                 0.6545,                0.50219,                0.94882,                0.85204,                 1.3432,              0.0040589,              0.0040589,              0.0040589
                     21,                0.81233,                0.43289,                 1.2944,                0.61815,                0.74804,                0.65658,                 0.4849,                0.92899,                0.82072,                 1.3454,              0.0037289,              0.0037289,              0.0037289
                     22,                0.77391,                  0.403,                 1.2594,                0.78819,                 0.6776,                0.77127,                0.59554,                0.93209,                0.78524,                  1.337,              0.0033988,              0.0033988,              0.0033988
                     23,                0.75749,                0.38776,                 1.2489,                0.65696,                0.71094,                0.71323,                0.55077,                0.90563,                0.81322,                 1.3267,              0.0030687,              0.0030687,              0.0030687
                     24,                0.73942,                0.37372,                  1.233,                0.62597,                0.76227,                0.70655,                0.54964,                0.92571,                0.81025,                 1.3503,              0.0027387,              0.0027387,              0.0027387
                     25,                0.72628,                0.36091,                 1.2308,                0.72226,                0.76954,                0.74561,                0.59507,                0.91396,                0.81775,                 1.3613,              0.0024086,              0.0024086,              0.0024086
                     26,                0.70771,                0.34615,                 1.2037,                0.69564,                 0.6897,                0.69673,                0.55167,                0.93271,                0.83396,                 1.3849,              0.0020786,              0.0020786,              0.0020786
                     27,                0.68882,                0.33472,                 1.1946,                0.75903,                0.68322,                0.74848,                 0.5918,                0.92619,                0.85781,                  1.367,              0.0017485,              0.0017485,              0.0017485
                     28,                0.67748,                0.32568,                 1.1846,                0.69299,                0.70419,                0.71232,                0.56199,                0.90183,                0.81495,                 1.3519,              0.0014184,              0.0014184,              0.0014184
                     29,                0.66738,                0.32474,                 1.1835,                0.71846,                0.68076,                0.70829,                0.53783,                0.91366,                0.83498,                 1.3581,              0.0010884,              0.0010884,              0.0010884
                     30,                0.65559,                0.31239,                 1.1691,                0.75058,                0.71679,                0.74605,                0.58234,                0.90301,                 0.8233,                 1.3656,             0.00075832,             0.00075832,             0.00075832
