                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0088,                 0.8816,                 1.5564,                0.60782,                0.59564,                0.65511,                0.44985,                 1.0292,                 0.8573,                 1.5779,                 0.0107,                 0.0107,                 0.0107
                      2,                 1.0107,                0.87794,                 1.5503,                0.46944,                 0.6813,                0.60805,                 0.4469,                0.94689,                0.77457,                 1.4808,                 0.0107,                 0.0107,                 0.0107
                      3,                0.98234,                 0.8705,                 1.5252,                0.51013,                0.61865,                0.60053,                0.43418,                0.95117,                0.85274,                 1.4479,               0.010346,               0.010346,               0.010346
                      4,                0.97206,                0.84975,                  1.517,                0.65111,                0.57324,                0.63646,                0.45748,                0.97907,                0.70363,                 1.4814,              0.0099926,              0.0099926,              0.0099926
                      5,                0.96125,                 0.8296,                 1.5064,                0.52616,                0.67543,                0.65254,                0.48124,                0.91493,                0.70025,                 1.4446,              0.0096388,              0.0096388,              0.0096388
                      6,                0.94115,                0.80599,                 1.4875,                0.60838,                0.48968,                0.58563,                0.43586,                0.89441,                0.85936,                 1.4189,              0.0092851,              0.0092851,              0.0092851
                      7,                0.91794,                0.77474,                 1.4628,                0.59606,                0.62171,                0.60177,                0.44115,                0.88516,                0.72356,                 1.4011,              0.0089314,              0.0089314,              0.0089314
                      8,                0.90857,                0.76267,                 1.4563,                 0.6513,                0.63509,                 0.6697,                0.49629,                0.88034,                0.67122,                  1.431,              0.0085777,              0.0085777,              0.0085777
                      9,                0.91129,                0.74863,                 1.4565,                0.72589,                0.64191,                0.74175,                 0.5495,                0.85623,                0.67791,                 1.3843,              0.0082239,              0.0082239,              0.0082239
                     10,                0.89893,                0.73828,                 1.4413,                0.69883,                0.59765,                0.69514,                0.54096,                0.84921,                0.69504,                 1.4153,              0.0078702,              0.0078702,              0.0078702
                     11,                0.88829,                0.72508,                  1.441,                0.67584,                0.66016,                0.71909,                0.54848,                0.85962,                0.65743,                 1.4122,              0.0075165,              0.0075165,              0.0075165
                     12,                0.86976,                0.70444,                 1.4216,                0.68521,                0.55068,                 0.6188,                0.45997,                0.87672,                0.67842,                 1.4049,              0.0071628,              0.0071628,              0.0071628
                     13,                0.85575,                0.68705,                 1.4134,                0.66584,                0.61112,                 0.7055,                0.52822,                0.86691,                0.63186,                 1.3912,               0.006809,               0.006809,               0.006809
                     14,                0.84745,                0.66969,                 1.4009,                0.48316,                0.85067,                0.59425,                0.43881,                0.82872,                0.66087,                 1.3768,              0.0064553,              0.0064553,              0.0064553
                     15,                0.83555,                0.65885,                 1.3886,                0.68785,                 0.6814,                0.69448,                 0.5251,                0.81224,                0.69323,                 1.3755,              0.0061016,              0.0061016,              0.0061016
                     16,                0.82753,                0.65665,                 1.3914,                0.67635,                0.69053,                0.72616,                0.56657,                0.78932,                 0.6562,                 1.3563,              0.0057479,              0.0057479,              0.0057479
                     17,                0.81677,                 0.6405,                  1.374,                0.64587,                0.62551,                  0.631,                0.46829,                0.81693,                0.64863,                 1.3818,              0.0053941,              0.0053941,              0.0053941
                     18,                0.80415,                0.62072,                 1.3667,                 0.7287,                0.60196,                0.68167,                0.53601,                0.78665,                0.67273,                 1.3648,              0.0050404,              0.0050404,              0.0050404
                     19,                0.79003,                0.60048,                 1.3538,                 0.5837,                0.77837,                0.67454,                0.51283,                 0.7984,                0.63137,                 1.3722,              0.0046867,              0.0046867,              0.0046867
                     20,                 0.7899,                0.60388,                 1.3517,                0.74629,                0.58892,                0.67259,                0.51542,                0.80534,                0.66779,                 1.3823,               0.004333,               0.004333,               0.004333
                     21,                0.66534,                0.31902,                 1.2837,                0.58836,                0.62684,                0.62729,                0.47742,                0.82781,                0.65546,                 1.3965,              0.0039792,              0.0039792,              0.0039792
                     22,                0.63888,                0.30068,                 1.2591,                 0.8034,                0.64189,                0.71876,                0.56256,                0.80535,                0.59792,                 1.3705,              0.0036255,              0.0036255,              0.0036255
                     23,                0.62706,                 0.2933,                 1.2527,                 0.6775,                 0.7466,                0.71702,                0.55455,                0.78369,                0.63154,                 1.3607,              0.0032718,              0.0032718,              0.0032718
                     24,                0.60536,                0.27677,                 1.2294,                0.62805,                0.78173,                0.74528,                0.59706,                 0.7601,                0.62919,                 1.3489,              0.0029181,              0.0029181,              0.0029181
                     25,                0.59985,                 0.2734,                 1.2297,                0.73609,                0.65396,                0.71245,                0.55576,                0.79697,                0.62609,                 1.4144,              0.0025643,              0.0025643,              0.0025643
                     26,                0.57719,                0.25944,                 1.2026,                0.71104,                0.66658,                0.72859,                  0.572,                0.77869,                0.61533,                 1.3934,              0.0022106,              0.0022106,              0.0022106
                     27,                0.56704,                0.25229,                 1.1956,                0.61912,                 0.7101,                0.67442,                0.51777,                0.77568,                0.63596,                 1.3904,              0.0018569,              0.0018569,              0.0018569
                     28,                0.55448,                0.24171,                 1.1833,                0.68204,                0.66954,                0.72438,                0.57002,                0.76151,                0.61029,                 1.3802,              0.0015032,              0.0015032,              0.0015032
                     29,                0.54758,                0.24216,                 1.1809,                0.62921,                0.70015,                0.65353,                0.50249,                0.77335,                0.59705,                 1.3864,              0.0011494,              0.0011494,              0.0011494
                     30,                0.53982,                0.23526,                  1.173,                0.69293,                0.64308,                0.71104,                0.56052,                 0.7593,                0.60873,                 1.3802,             0.00079572,             0.00079572,             0.00079572
