                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2908,                 1.3183,                 1.5722,                0.51713,                0.48457,                0.53413,                0.36867,                 1.1514,                 1.0007,                 1.4996,               0.052159,              0.0069722,              0.0069722
                      2,                 1.2854,                 1.3163,                 1.5663,                0.52406,                0.63151,                 0.6406,                0.45096,                 1.2294,                  1.022,                 1.5325,                 0.0123,                 0.0123,                 0.0123
                      3,                 1.2752,                   1.31,                 1.5631,                0.45789,                0.69315,                0.57809,                0.40051,                 1.1973,                 1.0006,                 1.4895,                 0.0123,                 0.0123,                 0.0123
                      4,                 1.2737,                 1.2918,                 1.5561,                0.65376,                0.56815,                 0.6489,                0.47424,                 1.1023,                 0.9183,                 1.4327,               0.011879,               0.011879,               0.011879
                      5,                 1.2534,                 1.2605,                 1.5428,                0.55606,                0.70647,                0.65688,                 0.4713,                 1.1575,                0.97998,                 1.4845,               0.011459,               0.011459,               0.011459
                      6,                 1.2311,                 1.2381,                 1.5226,                0.59401,                0.67571,                0.61767,                0.45499,                 1.1251,                0.91914,                 1.4625,               0.011038,               0.011038,               0.011038
                      7,                 1.2158,                 1.1898,                 1.5106,                0.53596,                0.71531,                0.61842,                0.44135,                 1.0931,                0.92155,                 1.4466,               0.010618,               0.010618,               0.010618
                      8,                 1.1986,                 1.1896,                 1.5068,                0.58884,                0.51305,                0.61347,                 0.4349,                 1.1546,                 1.0507,                 1.5072,               0.010197,               0.010197,               0.010197
                      9,                  1.182,                 1.1562,                 1.4908,                0.53337,                  0.597,                0.56151,                0.41082,                 1.0834,                 1.0228,                  1.438,              0.0097767,              0.0097767,              0.0097767
                     10,                 1.1635,                 1.1377,                 1.4832,                0.53472,                0.72825,                0.66463,                0.47917,                 1.0883,                0.95644,                 1.4324,              0.0093563,              0.0093563,              0.0093563
                     11,                 1.1575,                 1.0976,                 1.4765,                0.60254,                0.74559,                0.68624,                0.50003,                 1.0815,                0.86932,                 1.4408,              0.0089358,              0.0089358,              0.0089358
                     12,                 1.1421,                 1.0748,                 1.4647,                0.57074,                0.72163,                 0.6126,                0.42766,                 1.0603,                0.90795,                 1.4278,              0.0085153,              0.0085153,              0.0085153
                     13,                 1.1251,                 1.0537,                 1.4511,                0.62994,                0.66068,                0.71424,                0.51758,                 1.0882,                  0.944,                 1.4375,              0.0080949,              0.0080949,              0.0080949
                     14,                 1.1122,                 1.0396,                 1.4509,                0.59304,                0.69854,                 0.6978,                0.52917,                 1.0523,                0.93696,                 1.4266,              0.0076744,              0.0076744,              0.0076744
                     15,                 1.1004,                 1.0181,                 1.4314,                0.67687,                0.60832,                0.69441,                0.53674,                 1.0024,                0.83016,                 1.3836,              0.0072539,              0.0072539,              0.0072539
                     16,                   1.08,                0.98812,                 1.4238,                 0.7771,                0.63309,                0.73311,                0.54768,                 1.0695,                0.86267,                 1.4211,              0.0068334,              0.0068334,              0.0068334
                     17,                 1.0715,                0.97457,                 1.4149,                0.71225,                0.63141,                0.66855,                  0.488,                 1.0359,                0.95866,                 1.4123,               0.006413,               0.006413,               0.006413
                     18,                 1.0644,                0.95164,                 1.4089,                0.57027,                0.76564,                  0.698,                0.52425,                 1.0554,                 0.8638,                 1.4087,              0.0059925,              0.0059925,              0.0059925
                     19,                 1.0488,                0.93397,                 1.4008,                 0.7708,                0.62424,                0.74862,                0.56022,                 1.0334,                0.91493,                 1.4041,               0.005572,               0.005572,               0.005572
                     20,                 1.0245,                0.91956,                 1.3833,                0.69195,                 0.5785,                0.69618,                 0.5247,                 1.0094,                 0.8618,                  1.397,              0.0051516,              0.0051516,              0.0051516
                     21,                0.91773,                0.50584,                 1.3894,                0.63023,                0.62614,                0.67698,                0.50351,                 1.0405,                0.88064,                 1.4304,              0.0047311,              0.0047311,              0.0047311
                     22,                0.87264,                0.46977,                 1.3516,                0.67547,                0.60185,                0.68116,                0.52549,                 1.0201,                0.90123,                 1.3945,              0.0043106,              0.0043106,              0.0043106
                     23,                0.83651,                0.44979,                 1.3284,                0.63083,                0.72408,                0.70609,                0.53417,                 1.0159,                0.91576,                 1.4146,              0.0038902,              0.0038902,              0.0038902
                     24,                0.82376,                 0.4345,                 1.3173,                  0.672,                0.70556,                0.70612,                0.55308,                0.97815,                0.88984,                 1.3877,              0.0034697,              0.0034697,              0.0034697
                     25,                0.80879,                 0.4113,                 1.3116,                0.71747,                0.68713,                0.74843,                0.58459,                0.97873,                0.87302,                 1.3818,              0.0030492,              0.0030492,              0.0030492
