                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1823,                    1.2,                  1.504,                0.75626,                0.49065,                0.59849,                0.44222,                 1.0658,                 1.0234,                 1.4215,               0.048074,              0.0058208,              0.0058208
                      2,                 1.1728,                 1.1843,                 1.4921,                0.59103,                0.54619,                0.62645,                0.46206,                 1.0445,                0.85921,                 1.4031,              0.0097473,              0.0097473,              0.0097473
                      3,                 1.1576,                 1.1761,                 1.4855,                0.53695,                0.67219,                0.60441,                0.41677,                 1.1522,                 1.0091,                  1.464,              0.0097473,              0.0097473,              0.0097473
                      4,                 1.1518,                 1.1587,                 1.4825,                0.70556,                0.48498,                0.61325,                0.46547,                 1.0196,                 1.0584,                  1.387,              0.0094146,              0.0094146,              0.0094146
                      5,                 1.1318,                 1.1238,                 1.4681,                0.71914,                 0.5596,                0.69633,                0.51796,                 1.0122,                0.86052,                 1.3898,              0.0090819,              0.0090819,              0.0090819
                      6,                 1.1214,                 1.1021,                 1.4586,                 0.5191,                0.70139,                 0.6627,                0.50929,                 1.0019,                 1.0001,                 1.3847,              0.0087492,              0.0087492,              0.0087492
                      7,                 1.1094,                 1.0751,                 1.4469,                0.52894,                0.67366,                0.58491,                 0.4281,                 1.0271,                0.91422,                  1.386,              0.0084164,              0.0084164,              0.0084164
                      8,                 1.0996,                 1.0739,                 1.4452,                0.60515,                  0.588,                0.66568,                0.50112,                 1.0143,                0.91934,                 1.3897,              0.0080837,              0.0080837,              0.0080837
                      9,                 1.0717,                 1.0221,                 1.4182,                0.58174,                0.59326,                0.65185,                 0.4891,                 1.0174,                0.90774,                 1.3909,               0.007751,               0.007751,               0.007751
                     10,                 1.0592,                 1.0184,                 1.4142,                0.51927,                0.75812,                0.62109,                0.45216,                 1.0573,                 0.9028,                  1.423,              0.0074183,              0.0074183,              0.0074183
                     11,                 1.0579,                0.98778,                 1.4117,                0.52035,                 0.6377,                 0.5953,                0.44144,                0.98953,                0.84983,                 1.3853,              0.0070856,              0.0070856,              0.0070856
                     12,                 1.0456,                0.97082,                 1.4039,                 0.5549,                0.70454,                0.63095,                0.46598,                 1.0174,                0.86458,                 1.3821,              0.0067529,              0.0067529,              0.0067529
                     13,                 1.0245,                0.96229,                 1.3872,                0.68995,                0.73918,                0.74913,                0.57906,                0.99735,                0.81547,                 1.3798,              0.0064202,              0.0064202,              0.0064202
                     14,                 1.0236,                0.93962,                  1.393,                0.58457,                0.54969,                0.59017,                0.43367,                 0.9958,                0.85145,                 1.3733,              0.0060875,              0.0060875,              0.0060875
                     15,                  1.012,                0.92525,                 1.3747,                0.58621,                0.62377,                0.63106,                 0.4726,                0.98641,                0.83659,                 1.3788,              0.0057548,              0.0057548,              0.0057548
                     16,                 1.0023,                0.90318,                 1.3718,                  0.676,                 0.7096,                0.72538,                0.56231,                0.93287,                0.84039,                 1.3213,              0.0054221,              0.0054221,              0.0054221
                     17,                0.98277,                 0.8931,                 1.3585,                0.78724,                0.58647,                0.65863,                0.49649,                0.98652,                0.88715,                  1.378,              0.0050893,              0.0050893,              0.0050893
                     18,                0.97385,                0.86368,                 1.3544,                 0.5976,                0.65735,                0.62079,                0.46538,                0.95179,                0.83252,                 1.3496,              0.0047566,              0.0047566,              0.0047566
                     19,                0.96706,                0.86295,                  1.349,                0.72889,                0.58293,                0.68431,                0.51476,                0.96132,                0.86412,                 1.3472,              0.0044239,              0.0044239,              0.0044239
                     20,                0.94478,                 0.8384,                 1.3303,                0.54737,                0.71521,                0.68103,                 0.5243,                 0.9467,                0.83627,                 1.3405,              0.0040912,              0.0040912,              0.0040912
                     21,                0.81394,                0.43034,                 1.2923,                0.58275,                0.64498,                0.59848,                0.44771,                0.94976,                0.85042,                 1.3398,              0.0037585,              0.0037585,              0.0037585
                     22,                0.77629,                0.40416,                 1.2624,                0.75763,                0.60105,                0.66819,                0.52256,                0.94256,                0.83177,                  1.358,              0.0034258,              0.0034258,              0.0034258
                     23,                0.75566,                0.38776,                 1.2463,                0.63908,                0.62731,                0.63284,                0.48587,                0.91312,                 0.8422,                 1.3383,              0.0030931,              0.0030931,              0.0030931
                     24,                0.73517,                 0.3699,                 1.2312,                  0.629,                0.61394,                0.62191,                0.47224,                0.93403,                0.85043,                 1.3461,              0.0027604,              0.0027604,              0.0027604
                     25,                0.72632,                0.35955,                 1.2306,                0.64433,                0.72633,                0.69928,                0.54301,                0.92798,                0.83789,                 1.3586,              0.0024277,              0.0024277,              0.0024277
                     26,                0.70405,                0.34605,                 1.2021,                0.67064,                0.68271,                0.69873,                0.54069,                0.92732,                0.84582,                 1.3605,              0.0020949,              0.0020949,              0.0020949
                     27,                0.69081,                0.33331,                 1.1963,                0.63482,                0.62074,                 0.6901,                0.54487,                0.90346,                0.78938,                 1.3337,              0.0017622,              0.0017622,              0.0017622
                     28,                0.67834,                0.32508,                 1.1866,                 0.6817,                0.55973,                0.66642,                0.52486,                 0.9031,                0.84541,                 1.3344,              0.0014295,              0.0014295,              0.0014295
                     29,                0.66459,                0.32205,                 1.1806,                0.68986,                0.56402,                0.64517,                 0.4895,                0.91184,                0.82267,                 1.3577,              0.0010968,              0.0010968,              0.0010968
                     30,                0.65329,                0.31132,                 1.1674,                0.63552,                0.61493,                0.67635,                0.53117,                 0.8871,                 0.8207,                 1.3389,              0.0007641,              0.0007641,              0.0007641
