                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0572,                0.96641,                 1.5083,                0.61107,                0.63577,                0.61412,                0.43746,                 1.0096,                0.78152,                 1.4509,               0.020068,              0.0081765,              0.0081765
                      2,                 1.0375,                0.94553,                  1.493,                0.51278,                0.60461,                0.62045,                0.46515,                0.97828,                 0.8916,                 1.4249,              0.0089741,              0.0089741,              0.0089741
                      3,                 1.0474,                0.95749,                 1.4983,                0.57374,                0.56483,                0.59765,                0.42812,                0.99225,                0.82998,                 1.4292,              0.0089741,              0.0089741,              0.0089741
                      4,                 1.0343,                0.94024,                 1.4888,                0.63702,                0.64035,                0.63998,                0.48647,                0.93312,                0.89238,                  1.417,              0.0086683,              0.0086683,              0.0086683
                      5,                 1.0074,                0.89981,                 1.4685,                0.54895,                0.57828,                0.59155,                0.40632,                 1.1299,                0.88736,                  1.534,              0.0083624,              0.0083624,              0.0083624
                      6,                0.99361,                0.88137,                 1.4604,                0.52871,                0.73187,                0.61385,                0.44487,                 0.9708,                 0.7766,                  1.425,              0.0080566,              0.0080566,              0.0080566
                      7,                0.97388,                0.85553,                 1.4402,                0.47099,                0.67686,                0.56905,                0.40818,                0.96425,                0.77331,                 1.4186,              0.0077507,              0.0077507,              0.0077507
                      8,                 0.9637,                0.83731,                 1.4246,                0.55972,                0.71387,                0.62588,                0.45928,                0.92415,                 0.7592,                 1.3793,              0.0074449,              0.0074449,              0.0074449
                      9,                0.95006,                 0.8309,                 1.4194,                0.65159,                0.69246,                0.69088,                0.51354,                0.93534,                0.78404,                 1.3948,               0.007139,               0.007139,               0.007139
                     10,                0.93518,                0.80841,                 1.4086,                0.56208,                0.59452,                0.60481,                0.45156,                0.92125,                 0.7357,                 1.3876,              0.0068332,              0.0068332,              0.0068332
                     11,                0.93086,                0.78732,                 1.4016,                0.71201,                0.62741,                0.72896,                0.56495,                0.87863,                0.72548,                 1.3577,              0.0065273,              0.0065273,              0.0065273
                     12,                0.92286,                0.77953,                 1.4004,                0.61447,                0.58252,                0.66084,                0.51405,                0.91132,                0.77039,                 1.3866,              0.0062215,              0.0062215,              0.0062215
                     13,                0.90641,                0.75754,                 1.3812,                0.55632,                0.75499,                0.62448,                0.48383,                0.85749,                0.71146,                 1.3439,              0.0059156,              0.0059156,              0.0059156
                     14,                0.89489,                0.75054,                 1.3723,                 0.5037,                0.79741,                0.59954,                  0.433,                0.94342,                0.77454,                  1.418,              0.0056098,              0.0056098,              0.0056098
                     15,                 0.8818,                0.72562,                 1.3636,                0.57276,                 0.6348,                0.64358,                0.49324,                0.88891,                0.79004,                  1.355,              0.0053039,              0.0053039,              0.0053039
                     16,                0.86799,                 0.7142,                 1.3524,                0.68233,                0.58302,                 0.6619,                0.51165,                0.89248,                0.74348,                 1.3788,              0.0049981,              0.0049981,              0.0049981
                     17,                0.85657,                0.69319,                 1.3469,                0.52112,                0.63222,                0.56357,                0.43613,                0.83378,                0.79059,                 1.3143,              0.0046922,              0.0046922,              0.0046922
                     18,                0.85201,                0.69139,                 1.3441,                 0.6326,                0.62282,                0.67093,                0.52167,                0.86638,                0.72503,                 1.3477,              0.0043863,              0.0043863,              0.0043863
                     19,                0.84007,                0.68287,                 1.3364,                0.74012,                 0.5303,                 0.6614,                0.50897,                0.87839,                 0.7564,                 1.3615,              0.0040805,              0.0040805,              0.0040805
                     20,                0.83848,                0.66885,                  1.328,                0.56543,                0.74977,                0.69978,                0.53879,                0.89158,                0.71997,                 1.3729,              0.0037746,              0.0037746,              0.0037746
                     21,                0.69941,                0.34685,                 1.2555,                0.65705,                0.63937,                0.66825,                0.51522,                0.84401,                0.73036,                 1.3402,              0.0034688,              0.0034688,              0.0034688
                     22,                0.66791,                0.32694,                 1.2292,                0.67972,                0.60887,                0.65519,                0.50301,                0.90739,                0.74644,                 1.4165,              0.0031629,              0.0031629,              0.0031629
                     23,                0.65778,                0.31307,                 1.2219,                0.58705,                0.65584,                0.68935,                0.53488,                0.83916,                0.71731,                 1.3364,              0.0028571,              0.0028571,              0.0028571
                     24,                0.64433,                0.29941,                 1.2068,                0.70733,                0.57903,                  0.657,                0.51013,                0.82927,                0.73262,                 1.3366,              0.0025512,              0.0025512,              0.0025512
                     25,                0.63223,                0.29823,                 1.2052,                0.62637,                0.66581,                0.66506,                0.52359,                0.83703,                0.73308,                 1.3851,              0.0022454,              0.0022454,              0.0022454
                     26,                0.61474,                 0.2814,                 1.1821,                0.74851,                0.62387,                0.70104,                0.55821,                0.82074,                0.73915,                 1.3634,              0.0019395,              0.0019395,              0.0019395
                     27,                0.60051,                0.27616,                 1.1743,                0.59485,                0.69254,                0.63783,                0.50616,                0.83464,                0.73797,                 1.3737,              0.0016337,              0.0016337,              0.0016337
                     28,                0.58854,                0.26847,                 1.1632,                0.68596,                0.65377,                0.66829,                0.51917,                0.81554,                 0.7292,                 1.3618,              0.0013278,              0.0013278,              0.0013278
                     29,                0.58163,                0.26564,                 1.1621,                0.72301,                 0.6157,                0.67277,                0.51706,                0.82812,                0.75906,                 1.3744,               0.001022,               0.001022,               0.001022
                     30,                0.56812,                0.25805,                  1.149,                0.70439,                0.61154,                0.62945,                0.48605,                0.81988,                0.75312,                 1.3786,             0.00071611,             0.00071611,             0.00071611
