                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5177,                 1.1774,                 1.6486,                0.65372,                0.49273,                0.50853,                0.34771,                 1.4943,                 1.0686,                 1.6683,                0.05795,              0.0069935,              0.0069935
                      2,                 1.5328,                 1.2065,                 1.6558,                0.49283,                0.59084,                0.63651,                0.44568,                 1.4625,                0.95112,                 1.6194,                0.01537,               0.013536,               0.013536
                      3,                 1.5199,                 1.2023,                  1.652,                0.69574,                0.50716,                0.60891,                0.42601,                 1.4868,                0.99795,                  1.627,               0.013317,               0.013317,               0.013317
                      4,                 1.5136,                 1.1976,                 1.6446,                0.63392,                0.49639,                0.64205,                0.45693,                 1.3678,                0.91158,                 1.5524,               0.013317,               0.013317,               0.013317
                      5,                  1.492,                 1.1678,                 1.6304,                0.51215,                0.55849,                 0.5492,                0.40135,                 1.3021,                0.89672,                 1.5733,               0.012846,               0.012846,               0.012846
                      6,                 1.4815,                 1.1552,                 1.6203,                0.57047,                0.64943,                0.60415,                0.42731,                 1.4288,                0.87216,                  1.609,               0.012375,               0.012375,               0.012375
                      7,                  1.454,                 1.1167,                 1.6045,                0.82752,                0.53843,                0.69078,                0.44386,                 1.3876,                0.92319,                 1.5921,               0.011903,               0.011903,               0.011903
                      8,                 1.4404,                 1.1118,                 1.5995,                0.57249,                0.51464,                0.60387,                0.44581,                 1.3169,                0.92029,                 1.5663,               0.011432,               0.011432,               0.011432
                      9,                 1.4026,                  1.066,                 1.5734,                0.46634,                0.74829,                0.59698,                0.42508,                 1.3469,                0.88233,                 1.5489,                0.01096,                0.01096,                0.01096
                     10,                 1.3883,                 1.0517,                 1.5659,                0.42834,                0.79501,                0.57679,                0.41524,                 1.3245,                0.85261,                 1.5401,               0.010489,               0.010489,               0.010489
                     11,                 1.3956,                 1.0325,                 1.5686,                0.56135,                 0.6379,                0.59934,                 0.4357,                 1.2615,                0.82214,                  1.503,               0.010018,               0.010018,               0.010018
                     12,                 1.3532,                0.99433,                 1.5427,                0.52155,                0.72931,                0.61027,                0.43895,                 1.2977,                0.83586,                 1.5253,              0.0095463,              0.0095463,              0.0095463
                     13,                  1.342,                0.99071,                 1.5365,                0.51625,                0.64963,                0.58785,                0.43682,                 1.2738,                0.88795,                 1.5139,              0.0090749,              0.0090749,              0.0090749
                     14,                 1.3229,                0.96585,                 1.5327,                0.62969,                0.61242,                0.63732,                0.47051,                 1.2768,                0.79498,                 1.5048,              0.0086035,              0.0086035,              0.0086035
                     15,                 1.3192,                0.94156,                 1.5159,                0.53662,                0.77344,                0.62958,                0.46463,                 1.2048,                 0.7946,                  1.484,              0.0081321,              0.0081321,              0.0081321
                     16,                  1.286,                 0.9232,                 1.5051,                0.59136,                0.63126,                 0.6717,                0.50668,                 1.2331,                 0.8199,                 1.5014,              0.0076608,              0.0076608,              0.0076608
                     17,                 1.2651,                0.90932,                 1.4914,                0.57165,                0.61541,                0.58505,                0.42791,                 1.2435,                0.87879,                 1.4964,              0.0071894,              0.0071894,              0.0071894
                     18,                  1.255,                0.87806,                 1.4853,                0.66298,                0.64497,                0.66629,                0.49829,                 1.1807,                0.79006,                 1.4421,               0.006718,               0.006718,               0.006718
                     19,                  1.246,                0.86344,                 1.4805,                0.64866,                0.72057,                0.72511,                0.54632,                 1.1891,                0.81837,                 1.4592,              0.0062466,              0.0062466,              0.0062466
                     20,                 1.2134,                0.84178,                 1.4589,                0.54204,                 0.7712,                0.68167,                0.51415,                  1.192,                0.85429,                 1.4691,              0.0057753,              0.0057753,              0.0057753
                     21,                 1.0675,                0.46566,                 1.4518,                0.65385,                0.54759,                0.65119,                0.49671,                 1.2101,                0.83659,                 1.4794,              0.0053039,              0.0053039,              0.0053039
                     22,                 1.0237,                0.44494,                 1.4193,                0.65344,                 0.6202,                0.67364,                0.50581,                 1.2061,                0.81965,                 1.4829,              0.0048325,              0.0048325,              0.0048325
                     23,                0.99397,                0.42129,                 1.4028,                0.67539,                0.58411,                0.64847,                0.50296,                 1.1918,                0.81687,                 1.4833,              0.0043612,              0.0043612,              0.0043612
                     24,                0.96678,                0.40252,                 1.3848,                0.65676,                0.63541,                0.65657,                0.50667,                 1.1555,                0.83403,                  1.462,              0.0038898,              0.0038898,              0.0038898
                     25,                0.94355,                0.37877,                 1.3735,                0.67925,                0.65478,                0.69604,                0.51933,                 1.1666,                0.77323,                 1.4829,              0.0034184,              0.0034184,              0.0034184
                     26,                0.92679,                0.36028,                 1.3512,                0.62708,                0.65096,                0.68244,                0.52543,                 1.1523,                0.79499,                  1.476,               0.002947,               0.002947,               0.002947
                     27,                 0.8955,                0.34767,                 1.3307,                0.67669,                0.67238,                0.69918,                0.55055,                 1.1316,                0.76945,                 1.4789,              0.0024757,              0.0024757,              0.0024757
                     28,                0.87507,                0.33687,                 1.3184,                0.63461,                0.60632,                 0.6194,                0.48014,                 1.1379,                0.80818,                 1.4918,              0.0020043,              0.0020043,              0.0020043
                     29,                 0.8552,                0.32681,                 1.3113,                0.69315,                0.61074,                0.69061,                0.53666,                 1.1507,                 0.8049,                  1.502,              0.0015329,              0.0015329,              0.0015329
                     30,                0.84472,                0.32141,                  1.301,                0.71513,                0.59666,                0.68544,                0.53332,                  1.135,                0.81613,                  1.493,              0.0010615,              0.0010615,              0.0010615
