                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0971,                 1.1966,                 1.4369,                0.77448,                0.65731,                 0.7165,                 0.5251,                 1.0009,                0.91841,                 1.3698,               0.047791,              0.0055379,              0.0055379
                      2,                  1.084,                 1.1848,                 1.4268,                0.55205,                0.57783,                0.64218,                0.47109,                 1.0593,                0.87148,                  1.388,              0.0092736,              0.0092736,              0.0092736
                      3,                 1.0701,                 1.1608,                 1.4203,                0.60795,                0.62772,                0.62598,                0.45615,                  1.093,                  1.057,                 1.4137,              0.0092736,              0.0092736,              0.0092736
                      4,                 1.0557,                  1.143,                 1.4073,                0.64796,                0.60683,                 0.6436,                0.48102,                0.94326,                0.87564,                 1.3159,              0.0089572,              0.0089572,              0.0089572
                      5,                 1.0459,                 1.1124,                 1.3999,                0.69034,                0.62694,                0.72748,                 0.5489,                0.94133,                0.90893,                 1.3155,              0.0086408,              0.0086408,              0.0086408
                      6,                 1.0341,                 1.0931,                 1.3865,                0.51986,                0.61733,                 0.5874,                0.43275,                0.93789,                0.89406,                 1.3077,              0.0083244,              0.0083244,              0.0083244
                      7,                 1.0273,                 1.0684,                 1.3844,                0.53274,                0.60258,                0.62939,                0.48778,                 0.9534,                0.98697,                 1.3323,               0.008008,               0.008008,               0.008008
                      8,                 1.0132,                 1.0607,                 1.3748,                0.53706,                0.76356,                 0.6203,                 0.4674,                0.95455,                0.88527,                 1.3257,              0.0076916,              0.0076916,              0.0076916
                      9,                0.99361,                 1.0227,                  1.358,                0.64079,                0.60775,                 0.6592,                0.49549,                0.93528,                0.86982,                 1.3055,              0.0073752,              0.0073752,              0.0073752
                     10,                0.97946,                 1.0053,                 1.3517,                0.64617,                 0.7338,                0.73844,                0.55718,                0.95577,                0.84283,                 1.3154,              0.0070588,              0.0070588,              0.0070588
                     11,                0.98337,                0.98083,                 1.3499,                0.72667,                0.57578,                0.64343,                0.47998,                0.93713,                0.83164,                 1.3084,              0.0067424,              0.0067424,              0.0067424
                     12,                0.97048,                0.95952,                 1.3403,                 0.6009,                 0.6588,                0.67875,                0.49107,                 0.9635,                 0.8739,                 1.3306,               0.006426,               0.006426,               0.006426
                     13,                 0.9495,                0.94877,                 1.3243,                0.58917,                0.74709,                0.73621,                0.55791,                0.91858,                0.84239,                 1.3029,              0.0061096,              0.0061096,              0.0061096
                     14,                0.95351,                0.94149,                 1.3338,                0.62812,                0.59834,                0.65859,                0.44459,                0.95079,                0.90076,                 1.3224,              0.0057932,              0.0057932,              0.0057932
                     15,                0.93561,                0.92787,                 1.3141,                0.59772,                0.75453,                0.67295,                0.49991,                0.92592,                0.84408,                 1.3061,              0.0054768,              0.0054768,              0.0054768
                     16,                0.92863,                0.90228,                 1.3103,                0.59505,                0.70313,                0.69404,                 0.5185,                0.90402,                0.82748,                 1.2898,              0.0051604,              0.0051604,              0.0051604
                     17,                0.90829,                0.88742,                 1.2961,                0.65386,                0.69248,                0.65935,                0.50352,                0.90427,                0.84953,                 1.2914,               0.004844,               0.004844,               0.004844
                     18,                0.89675,                0.85565,                 1.2904,                0.64283,                0.62365,                0.62851,                0.46769,                0.89506,                0.81777,                 1.3006,              0.0045276,              0.0045276,              0.0045276
                     19,                0.89531,                0.86038,                 1.2878,                0.66007,                0.58553,                0.64693,                0.48285,                0.89136,                0.85307,                 1.2819,              0.0042112,              0.0042112,              0.0042112
                     20,                0.87956,                0.83994,                 1.2756,                0.59471,                0.64918,                 0.6749,                0.51225,                0.88925,                0.82744,                 1.2811,              0.0038948,              0.0038948,              0.0038948
                     21,                0.75737,                0.42374,                 1.2334,                0.61077,                0.67735,                0.67742,                0.51128,                0.90843,                0.86443,                 1.3018,              0.0035784,              0.0035784,              0.0035784
                     22,                0.71805,                0.39638,                 1.1991,                0.64391,                  0.637,                0.68995,                0.53376,                 0.9048,                 0.8541,                  1.311,               0.003262,               0.003262,               0.003262
                     23,                0.70267,                0.38364,                 1.1878,                0.72106,                0.56317,                0.65001,                 0.4926,                0.87995,                0.82062,                 1.2868,              0.0029456,              0.0029456,              0.0029456
                     24,                0.68227,                0.36387,                 1.1718,                0.70711,                0.60411,                  0.694,                 0.5393,                0.85965,                0.84171,                   1.29,              0.0026292,              0.0026292,              0.0026292
                     25,                0.67343,                0.35414,                 1.1711,                0.56374,                0.74668,                0.65569,                0.51353,                0.86556,                0.86077,                 1.3159,              0.0023128,              0.0023128,              0.0023128
                     26,                0.64961,                0.33699,                 1.1441,                0.65974,                0.60883,                0.69998,                0.53865,                0.85859,                0.83591,                 1.3016,              0.0019964,              0.0019964,              0.0019964
                     27,                 0.6345,                0.32947,                 1.1341,                0.53582,                0.77633,                0.71401,                0.54958,                0.85403,                0.82687,                 1.3034,                0.00168,                0.00168,                0.00168
                     28,                0.62069,                 0.3198,                 1.1238,                 0.5965,                0.62836,                0.67561,                0.53071,                0.84564,                0.86427,                 1.2956,              0.0013636,              0.0013636,              0.0013636
                     29,                0.61464,                 0.3193,                 1.1235,                0.58698,                0.76535,                0.70566,                0.55187,                0.84811,                0.82475,                 1.2983,              0.0010472,              0.0010472,              0.0010472
                     30,                0.60353,                0.30724,                 1.1086,                0.57169,                0.75385,                 0.7084,                 0.5537,                0.84133,                0.83691,                 1.3083,             0.00073081,             0.00073081,             0.00073081
