                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2339,                 1.1419,                 1.5561,                0.60974,                0.52643,                0.63362,                0.45868,                 1.2228,                0.98943,                  1.561,               0.047915,              0.0054993,              0.0054993
                      2,                 1.2161,                 1.1164,                 1.5441,                0.57716,                0.66441,                0.60924,                0.43973,                  1.107,                0.91608,                 1.4632,              0.0092347,              0.0092347,              0.0092347
                      3,                 1.2057,                 1.1047,                 1.5364,                0.60874,                0.64493,                0.72939,                0.52245,                 1.1141,                0.84252,                 1.4654,              0.0092347,              0.0092347,              0.0092347
                      4,                 1.2014,                 1.0937,                 1.5312,                0.56918,                0.55038,                0.56162,                0.40237,                 1.2027,                0.91705,                 1.4905,              0.0089193,              0.0089193,              0.0089193
                      5,                 1.1859,                 1.0793,                  1.511,                0.49721,                0.69731,                 0.5848,                0.43559,                 1.0838,                0.89526,                 1.4564,               0.008604,               0.008604,               0.008604
                      6,                 1.1626,                 1.0347,                 1.4952,                0.65768,                0.55649,                0.61394,                0.45772,                 1.0956,                0.95766,                 1.4658,              0.0082886,              0.0082886,              0.0082886
                      7,                 1.1577,                  1.025,                 1.4979,                0.61064,                0.68591,                0.62864,                0.45571,                 1.1096,                0.86162,                 1.4563,              0.0079733,              0.0079733,              0.0079733
                      8,                  1.144,                 1.0063,                 1.4826,                0.65604,                0.54475,                0.66071,                0.46744,                 1.1958,                 0.8367,                 1.4983,               0.007658,               0.007658,               0.007658
                      9,                 1.1197,                0.97432,                 1.4649,                0.55104,                0.74963,                0.63632,                0.46394,                 1.0634,                 0.8322,                  1.429,              0.0073426,              0.0073426,              0.0073426
                     10,                 1.1137,                0.94585,                 1.4613,                0.56603,                0.76194,                0.66168,                0.48785,                  1.107,                0.79858,                 1.4625,              0.0070273,              0.0070273,              0.0070273
                     11,                 1.1042,                0.95259,                 1.4605,                 0.5744,                0.61104,                 0.6487,                0.48358,                 1.0666,                0.83482,                 1.4445,              0.0067119,              0.0067119,              0.0067119
                     12,                 1.0839,                0.92737,                 1.4402,                0.60297,                0.75272,                0.71399,                0.51266,                  1.093,                0.84364,                 1.4547,              0.0063966,              0.0063966,              0.0063966
                     13,                 1.0737,                0.90919,                 1.4366,                0.59745,                0.71533,                0.67226,                0.48047,                 1.1361,                0.79305,                 1.4531,              0.0060812,              0.0060812,              0.0060812
                     14,                 1.0638,                0.88571,                 1.4304,                0.57955,                0.76266,                0.66054,                0.48703,                 1.0636,                  0.757,                 1.4272,              0.0057659,              0.0057659,              0.0057659
                     15,                 1.0507,                0.87673,                 1.4245,                0.62019,                0.62404,                0.62314,                0.45917,                 1.0497,                0.82351,                 1.4445,              0.0054506,              0.0054506,              0.0054506
                     16,                 1.0413,                0.86152,                 1.4154,                0.57501,                0.63346,                 0.6731,                0.50826,                 1.0299,                0.80281,                 1.4228,              0.0051352,              0.0051352,              0.0051352
                     17,                 1.0331,                0.85416,                 1.4036,                0.68264,                0.56177,                0.66326,                0.51391,                0.99819,                0.81923,                 1.3977,              0.0048199,              0.0048199,              0.0048199
                     18,                 1.0164,                0.81855,                 1.3996,                 0.7199,                0.60114,                0.66969,                 0.5121,                 1.0512,                0.80772,                 1.4395,              0.0045045,              0.0045045,              0.0045045
                     19,                 1.0075,                0.81936,                 1.3942,                 0.7071,                0.58908,                0.67285,                0.51028,                 1.0014,                0.80054,                  1.399,              0.0041892,              0.0041892,              0.0041892
                     20,                0.99762,                0.80919,                 1.3849,                0.75596,                0.56811,                0.68108,                0.51883,                0.99209,                0.80259,                 1.4154,              0.0038739,              0.0038739,              0.0038739
                     21,                0.85652,                0.41855,                 1.3403,                0.77067,                0.57988,                0.66691,                0.49858,                 1.0009,                0.81712,                 1.4055,              0.0035585,              0.0035585,              0.0035585
                     22,                0.80989,                0.39071,                 1.3044,                0.78841,                 0.5856,                0.68199,                0.53249,                 1.0165,                0.83084,                 1.4268,              0.0032432,              0.0032432,              0.0032432
                     23,                0.79476,                0.37511,                 1.2922,                0.75742,                0.56368,                0.65445,                0.49734,                 1.0036,                0.80903,                 1.4195,              0.0029278,              0.0029278,              0.0029278
                     24,                0.77183,                0.35765,                 1.2745,                0.58138,                0.74823,                0.69557,                0.52737,                0.98523,                0.79031,                 1.4067,              0.0026125,              0.0026125,              0.0026125
                     25,                0.75894,                0.34827,                  1.275,                0.69192,                0.63907,                0.67884,                0.52044,                 1.0003,                0.78304,                 1.4331,              0.0022972,              0.0022972,              0.0022972
                     26,                0.73377,                0.32874,                  1.244,                0.61733,                0.75473,                 0.7059,                0.54325,                 1.0076,                0.80418,                 1.4557,              0.0019818,              0.0019818,              0.0019818
                     27,                 0.7145,                0.32209,                 1.2337,                0.59029,                 0.7808,                0.66505,                0.51257,                0.98628,                0.82012,                 1.4442,              0.0016665,              0.0016665,              0.0016665
                     28,                0.70545,                0.31042,                 1.2252,                0.67413,                 0.6493,                0.70509,                0.54868,                0.96701,                0.80643,                 1.4383,              0.0013511,              0.0013511,              0.0013511
                     29,                0.70039,                0.31168,                 1.2248,                0.65672,                0.64057,                0.67355,                0.52926,                 0.9628,                 0.7966,                 1.4304,              0.0010358,              0.0010358,              0.0010358
                     30,                0.68237,                 0.3003,                 1.2088,                0.73422,                0.63319,                0.70912,                0.55587,                0.94638,                0.76999,                 1.4291,             0.00072045,             0.00072045,             0.00072045
