                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1837,                 1.4531,                 1.5823,                0.62516,                0.59989,                0.59799,                0.44043,                0.99347,                 1.0532,                 1.4256,                0.05544,              0.0049566,              0.0049566
                      2,                 1.1529,                 1.4063,                 1.5498,                0.67825,                0.48884,                 0.5831,                 0.4123,                 1.0999,                 1.1569,                  1.499,                0.01048,              0.0095939,              0.0095939
                      3,                 1.1386,                 1.3864,                  1.543,                0.60009,                0.58871,                0.64477,                0.46791,                  1.032,                 1.0733,                 1.4845,              0.0093493,              0.0093493,              0.0093493
                      4,                 1.1297,                 1.3656,                 1.5375,                0.53747,                 0.7346,                0.66015,                0.51277,                0.96839,                 1.0294,                 1.4177,              0.0093493,              0.0093493,              0.0093493
                      5,                 1.1263,                 1.3322,                  1.533,                0.53213,                0.68373,                0.67405,                0.49495,                 1.0206,                 1.0747,                 1.4663,              0.0090189,              0.0090189,              0.0090189
                      6,                 1.1084,                 1.3098,                 1.5128,                0.57616,                0.67578,                0.68134,                0.48324,                 1.0164,                 1.0243,                 1.4578,              0.0086886,              0.0086886,              0.0086886
                      7,                  1.097,                 1.2593,                 1.5062,                0.69195,                0.62891,                0.65816,                 0.4809,                 1.0715,                  1.122,                 1.4816,              0.0083582,              0.0083582,              0.0083582
                      8,                 1.0901,                 1.2689,                 1.5064,                0.51265,                0.65863,                0.59644,                0.43525,                 1.0182,                 1.0433,                 1.4496,              0.0080279,              0.0080279,              0.0080279
                      9,                 1.0644,                 1.2266,                  1.482,                0.60053,                0.72729,                0.68684,                0.50763,                 1.0012,                 1.0722,                 1.4432,              0.0076975,              0.0076975,              0.0076975
                     10,                 1.0468,                 1.1974,                 1.4731,                0.67928,                0.59947,                0.67486,                0.51016,                0.98031,                 1.0107,                 1.4378,              0.0073672,              0.0073672,              0.0073672
                     11,                 1.0443,                 1.1679,                 1.4662,                0.58734,                0.76356,                 0.7016,                0.52516,                0.96591,                0.97084,                 1.4097,              0.0070368,              0.0070368,              0.0070368
                     12,                 1.0316,                 1.1376,                 1.4561,                0.50659,                0.67015,                0.60182,                 0.4442,                0.99544,                 1.0773,                  1.424,              0.0067065,              0.0067065,              0.0067065
                     13,                 1.0131,                 1.1337,                 1.4458,                0.69282,                0.59125,                0.68056,                0.52035,                0.95617,                0.98426,                 1.4082,              0.0063761,              0.0063761,              0.0063761
                     14,                 1.0173,                 1.1097,                 1.4525,                0.52338,                0.75126,                0.61838,                0.46512,                0.95617,                 1.0386,                 1.4218,              0.0060458,              0.0060458,              0.0060458
                     15,                 1.0089,                 1.1004,                 1.4362,                0.57652,                0.70901,                0.71775,                 0.5458,                0.95558,                0.99853,                 1.4186,              0.0057154,              0.0057154,              0.0057154
                     16,                0.98935,                 1.0714,                 1.4281,                0.71723,                0.64451,                0.68849,                0.52671,                0.96038,                 1.0014,                 1.4176,              0.0053851,              0.0053851,              0.0053851
                     17,                 0.9745,                 1.0442,                 1.4138,                0.59761,                0.70823,                0.69601,                0.51544,                0.99193,                 1.0514,                 1.4341,              0.0050547,              0.0050547,              0.0050547
                     18,                0.96488,                 1.0286,                 1.4123,                0.62348,                0.65257,                0.66886,                0.50835,                0.93011,                0.96802,                 1.3935,              0.0047243,              0.0047243,              0.0047243
                     19,                0.95978,                 1.0114,                 1.4057,                0.57734,                0.62562,                0.66325,                0.50733,                 0.9692,                 1.0621,                 1.4203,               0.004394,               0.004394,               0.004394
                     20,                0.93804,                0.99036,                 1.3851,                0.69768,                 0.7065,                0.74712,                0.57743,                0.90773,                0.95069,                 1.3772,              0.0040636,              0.0040636,              0.0040636
                     21,                0.81937,                0.51702,                 1.3595,                0.57898,                0.63471,                0.64517,                0.49082,                0.93671,                 1.0426,                  1.385,              0.0037333,              0.0037333,              0.0037333
                     22,                 0.7732,                0.48403,                 1.3201,                0.67727,                0.59658,                0.62432,                0.47425,                0.93372,                 1.0192,                 1.4099,              0.0034029,              0.0034029,              0.0034029
                     23,                0.75332,                0.45828,                 1.3047,                0.72051,                0.57889,                0.67245,                0.51754,                0.93852,                0.99085,                 1.4057,              0.0030726,              0.0030726,              0.0030726
                     24,                0.73376,                0.44168,                 1.2867,                0.71548,                0.61321,                0.66482,                0.51459,                0.90725,                 0.9933,                 1.3949,              0.0027422,              0.0027422,              0.0027422
