                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7723,                 3.6554,                 2.5766,                0.41589,                0.29723,                0.09403,                0.03933,                 2.0027,                  4.484,                 3.1007,               0.061833,              0.0028772,              0.0028772
                      2,                 1.7482,                 3.2457,                 2.5214,                0.42808,                0.31678,                0.11627,                 0.0517,                 2.0949,                 3.9436,                 3.1781,               0.023499,              0.0057057,              0.0057057
                      3,                  1.704,                 3.1269,                 2.4501,                0.45055,                0.30991,                0.14747,                0.07215,                 1.8426,                 2.6011,                 2.6578,              0.0068715,              0.0068715,              0.0068715
                      4,                 1.6331,                 2.9497,                  2.351,                0.32585,                0.40684,                0.18887,                0.09138,                 1.6069,                 2.5435,                 2.3678,              0.0068715,              0.0068715,              0.0068715
                      5,                 1.5844,                 2.8476,                 2.3084,                0.50726,                0.37324,                0.19887,                 0.0933,                 1.7367,                 2.3347,                 2.4393,              0.0068023,              0.0068023,              0.0068023
                      6,                 1.5567,                 2.7842,                 2.2722,                0.48118,                0.36386,                0.20343,                0.09184,                 1.7234,                 2.3411,                  2.483,               0.006733,               0.006733,               0.006733
                      7,                 1.5267,                 2.7324,                 2.2352,                 0.4034,                0.49556,                0.27122,                0.13989,                 1.6237,                 2.1564,                 2.3493,              0.0066638,              0.0066638,              0.0066638
                      8,                 1.4907,                 2.5938,                 2.1838,                0.51103,                0.39818,                0.29395,                0.14765,                 1.5863,                 2.0004,                 2.2339,              0.0065945,              0.0065945,              0.0065945
                      9,                 1.4684,                 2.5363,                 2.1588,                0.65582,                0.38614,                0.23496,                0.12957,                 1.5019,                  2.142,                 2.1708,              0.0065253,              0.0065253,              0.0065253
                     10,                 1.4228,                 2.4721,                 2.1023,                0.53085,                0.44778,                0.30829,                0.16608,                 1.5187,                 1.9214,                  2.148,               0.006456,               0.006456,               0.006456
                     11,                 1.4167,                 2.4049,                 2.0782,                0.38347,                0.39509,                0.28382,                0.15467,                 1.5187,                  1.964,                  2.154,              0.0063868,              0.0063868,              0.0063868
                     12,                 1.4165,                 2.4098,                  2.084,                0.54846,                0.38745,                0.30168,                0.17157,                  1.381,                 1.8882,                 2.0372,              0.0063175,              0.0063175,              0.0063175
