                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2634,                 1.3579,                 1.5642,                0.64914,                0.62949,                0.65245,                0.45835,                 1.2185,                 1.0576,                 1.5186,               0.053405,              0.0067906,              0.0067906
                      2,                 1.2662,                  1.402,                 1.5639,                0.45331,                0.64709,                0.49748,                0.33315,                 1.3148,                 1.3431,                 1.6223,                 0.0123,                 0.0123,                 0.0123
                      3,                  1.266,                 1.3741,                 1.5609,                0.56173,                0.56206,                0.56735,                0.38522,                 1.2224,                 1.1955,                 1.5274,                 0.0123,                 0.0123,                 0.0123
                      4,                 1.2525,                 1.3667,                 1.5485,                0.45692,                 0.6835,                0.62757,                0.45079,                 1.2066,                 1.0789,                  1.524,                0.01188,                0.01188,                0.01188
                      5,                  1.243,                 1.3403,                 1.5427,                0.57363,                0.65775,                0.68024,                0.47842,                 1.1723,                 1.0522,                 1.4988,                0.01146,                0.01146,                0.01146
                      6,                 1.2218,                 1.3068,                 1.5272,                0.62408,                0.67941,                0.69128,                0.50461,                 1.1229,                 1.0635,                  1.465,               0.011039,               0.011039,               0.011039
                      7,                  1.199,                 1.2691,                 1.5137,                0.66219,                0.58522,                0.64163,                 0.4775,                 1.0978,                 1.0854,                   1.45,               0.010619,               0.010619,               0.010619
                      8,                 1.1864,                 1.2504,                 1.5067,                0.65799,                0.54776,                0.59537,                0.44174,                 1.0538,                 0.9587,                  1.416,               0.010199,               0.010199,               0.010199
                      9,                 1.1692,                  1.202,                 1.4936,                0.81858,                 0.5872,                0.75548,                0.53868,                 1.1103,                0.96737,                 1.4414,              0.0097789,              0.0097789,              0.0097789
                     10,                 1.1599,                 1.1822,                 1.4848,                0.57232,                0.74237,                0.63038,                0.47348,                 1.0772,                0.98673,                 1.4315,              0.0093588,              0.0093588,              0.0093588
                     11,                 1.1508,                 1.1748,                 1.4829,                0.65316,                0.61026,                0.61659,                0.45871,                  1.075,                 1.0864,                 1.4628,              0.0089386,              0.0089386,              0.0089386
                     12,                  1.129,                 1.1432,                 1.4678,                0.71147,                0.65245,                0.72926,                0.53808,                 1.0842,                0.97242,                  1.465,              0.0085185,              0.0085185,              0.0085185
                     13,                 1.1117,                 1.1126,                 1.4537,                0.59235,                0.60457,                0.62061,                0.45578,                 1.0792,                0.95755,                 1.4372,              0.0080983,              0.0080983,              0.0080983
                     14,                 1.1017,                 1.0874,                 1.4419,                0.51937,                0.64928,                0.61695,                0.45258,                 1.0906,                0.98396,                 1.4459,              0.0076781,              0.0076781,              0.0076781
                     15,                 1.0945,                 1.0825,                 1.4398,                0.70238,                0.62932,                0.71202,                0.53283,                 1.0882,                0.95922,                 1.4714,               0.007258,               0.007258,               0.007258
                     16,                 1.0816,                 1.0471,                 1.4307,                   0.69,                0.57321,                 0.6577,                0.50075,                  1.032,                0.95863,                 1.4222,              0.0068378,              0.0068378,              0.0068378
                     17,                 1.0673,                 1.0378,                 1.4185,                0.58373,                0.70373,                0.63623,                0.47499,                 1.0348,                 1.0049,                 1.4263,              0.0064177,              0.0064177,              0.0064177
                     18,                 1.0539,                 1.0116,                 1.4199,                0.73655,                 0.6094,                0.69671,                0.52342,                 1.0443,                 0.9482,                 1.4367,              0.0059975,              0.0059975,              0.0059975
                     19,                 1.0311,                0.97055,                 1.3959,                0.71646,                0.54172,                0.69565,                0.49941,                 1.0289,                 1.0079,                 1.4254,              0.0055774,              0.0055774,              0.0055774
                     20,                 1.0209,                0.95064,                 1.3873,                0.55345,                0.70033,                0.68754,                0.52968,                 1.0191,                0.93289,                 1.4102,              0.0051572,              0.0051572,              0.0051572
                     21,                0.89621,                0.52638,                 1.3749,                0.64831,                0.66065,                0.68504,                0.51883,                 1.0028,                 0.9606,                  1.406,              0.0047371,              0.0047371,              0.0047371
                     22,                0.85312,                0.48309,                 1.3366,                0.71825,                0.59276,                0.68414,                0.53245,                 0.9773,                0.90403,                 1.3958,              0.0043169,              0.0043169,              0.0043169
                     23,                0.83422,                0.46375,                  1.327,                0.61337,                0.65244,                0.66495,                 0.5085,                0.98186,                0.92351,                 1.3942,              0.0038968,              0.0038968,              0.0038968
                     24,                0.80717,                 0.4395,                 1.3021,                 0.7127,                0.56978,                0.65159,                 0.5076,                0.98086,                0.98324,                 1.4034,              0.0034766,              0.0034766,              0.0034766
                     25,                0.79447,                0.42895,                 1.3001,                0.71319,                0.58801,                0.66126,                0.51696,                 0.9527,                0.97619,                 1.4067,              0.0030565,              0.0030565,              0.0030565
                     26,                0.77191,                0.40797,                 1.2729,                0.62756,                0.71754,                0.68009,                0.54669,                0.96255,                0.99894,                 1.3987,              0.0026363,              0.0026363,              0.0026363
                     27,                0.75139,                0.39405,                 1.2601,                0.57465,                0.76261,                0.69159,                0.54168,                0.97072,                0.96206,                 1.4129,              0.0022161,              0.0022161,              0.0022161
                     28,                  0.732,                 0.3756,                 1.2436,                0.62566,                0.62758,                0.66853,                0.53044,                0.95618,                0.93809,                 1.4196,               0.001796,               0.001796,               0.001796
                     29,                 0.7249,                0.37387,                 1.2422,                0.63593,                0.59672,                0.66266,                 0.5228,                0.95856,                 1.0084,                 1.4174,              0.0013758,              0.0013758,              0.0013758
                     30,                0.70244,                0.36098,                 1.2267,                0.69168,                0.61525,                0.67824,                0.53516,                0.94764,                0.96576,                   1.43,             0.00095568,             0.00095568,             0.00095568
